SupplierID,SupplierName,Country,City,ContactPerson,Email,Phone,PaymentTerms,LeadTimeDays,Rating,IsActive
SUP-024,Al Jazira Foods,Turkey,Cairo,Fahad Al-Malki,procurement@aljazirafoods.com,+966864634663,Net 45,9,2.7,1
SUP-025,Al Osra Sugar,Bahrain,Kuwait City,Nasser Al-Shehri,procurement@alosrasugar.com,+966197705310,Net 30,6,3.5,1
SUP-026,Al Rifai Nuts,Netherlands,Jeddah,Fahad Al-Harbi,procurement@alrifainuts.com,+966481979055,Net 15,11,3.6,1
SUP-027,Sadia Brazil (BRF),Egypt,Dubai,Ibrahim Al-Khalifa,procurement@sadiabrazil(brf).com,+966269476001,Net 30,6,4.1,0
SUP-028,Al Watania Poultry,Saudi Arabia,Jeddah,Yousef Al-Malki,procurement@alwataniapoultry.com,+966432321899,Cash on Delivery,34,3.7,1
SUP-029,Tyson Foods ME,Saudi Arabia,Dammam,Nasser Al-Rashid,procurement@tysonfoodsme.com,+966745594951,Net 15,21,3.6,0
SUP-030,Local Farm Collective,USA,Cairo,Khalid Al-Harbi,procurement@localfarmcollective.com,+966539219319,Net 30,40,4.3,1
SUP-031,Al Rajhi Trading,UK,Manama,Ahmed Al-Rashid,procurement@alrajhitrading.com,+966877491435,Net 30,6,4.9,1
SUP-032,Al Faisaliah Group,Saudi Arabia,Jeddah,Yasser Al-Otaibi,procurement@alfaisaliahgroup.com,+966464193837,Net 30,39,3.1,0
SUP-033,Binzagr Co.,Saudi Arabia,New York,Mohammed Al-Mutairi,procurement@binzagrco.com,+966952462441,Net 45,16,4.2,1
SUP-034,Al Muhaidib Group,UAE,Abu Dhabi,Nasser Al-Qahtani,procurement@almuhaidibgroup.com,+966571367643,Net 60,7,2.5,0
SUP-035,Tamimi Markets Supply,Turkey,Jeddah,Mohammed Al-Ghamdi,procurement@tamimimarketssupply.com,+966477898694,Net 45,11,4.8,1
SUP-036,Carrefour Supply Chain,UAE,Manama,Saad Al-Qahtani,procurement@carrefoursupplychain.com,+966882909480,Net 45,42,5,0
SUP-037,Hyper Panda Logistics,Saudi Arabia,Istanbul,Saad Al-Khalifa,procurement@hyperpandalogistics.com,+966228024248,Net 45,10,4.7,0
SUP-038,Danone Middle East,Saudi Arabia,Abu Dhabi,Saad Al-Anazi,procurement@danonemiddleeast.com,+966456020613,Net 45,43,4.6,0
SUP-039,Activia Gulf,Egypt,Abu Dhabi,Yousef Al-Khalifa,procurement@activiagulf.com,+966122388090,Cash on Delivery,20,2.6,1
SUP-040,Alpro Middle East,Netherlands,Dammam,Omar Al-Dosari,procurement@alpromiddleeast.com,+966369302158,Cash on Delivery,38,2.5,1
SUP-041,Reckitt Benckiser,UK,Dammam,Sultan Al-Rashid,procurement@reckittbenckiser.com,+966688183110,Net 30,30,2.8,1
SUP-042,Colgate-Palmolive ME,Bahrain,Riyadh,Yousef Al-Shammari,procurement@colgate-palmoliveme.com,+966443491314,Net 30,25,4.5,1
SUP-043,P&G Baby Care,Turkey,Dammam,Yousef Al-Khalifa,procurement@pandgbabycare.com,+966431810617,Net 30,29,2.6,1
SUP-044,Kimberly-Clark ME,Netherlands,Kuwait City,Hassan Al-Zahrani,procurement@kimberly-clarkme.com,+966445810056,Net 30,9,3.5,1
SUP-045,Samsung Gulf,Egypt,Dubai,Fahad Al-Suwailem,procurement@samsunggulf.com,+966856930359,Net 45,17,3.1,1
SUP-046,Apple Authorized Reseller KSA,Kuwait,Manama,Saad Al-Suwailem,procurement@appleauthorizedresel.com,+966247463522,Net 60,44,3.8,0
SUP-047,Anker Innovations,Bahrain,Riyadh,Mohammed Al-Khalifa,procurement@ankerinnovations.com,+966533966966,Net 45,5,2.8,1
SUP-048,Logitech Middle East,Bahrain,Manama,Nasser Al-Anazi,procurement@logitechmiddleeast.com,+966925521714,Cash on Delivery,39,3,1
SUP-049,Pilot Pen ME,UK,Kuwait City,Ahmed Al-Ghamdi,procurement@pilotpenme.com,+966936445607,Net 60,30,2.7,1
SUP-050,Faber-Castell Arabia,Turkey,Manama,Omar Al-Suwailem,procurement@faber-castellarabia.com,+966250308572,Net 45,45,3.5,1
SUP-051,Staedtler Middle East,UK,Abu Dhabi,Sultan Al-Qahtani,procurement@staedtlermiddleeast.com,+966466431351,Cash on Delivery,14,4,1
SUP-052,3M Gulf,Kuwait,Istanbul,Ibrahim Al-Rashid,procurement@3mgulf.com,+966548508907,Net 45,30,4.5,0
